word,count
Python,4
is,6
a,5
general-purpose,1
"interpreted,",1
"interactive,",1
"object-oriented,",1
and,2
high-level,1
programming,4
language.,1
It,1
was,1
created,1
by,1
Guido,1
van,1
Rossum,1
during,1
1985-,1
1990.,1
Like,1
"Perl,",1
source,3
code,5
also,1
available,2
under,1
the,6
GNU,1
General,1
Public,1
License,1
(GPL).,1
This,1
tutorial,2
gives,1
enough,1
understanding,3
on,1
language.This,1
designed,1
for,4
software,1
programmers,1
who,1
need,3
to,3
learn,1
language,1
from,1
scratch.You,1
should,1
have,1
basic,2
of,6
Computer,1
Programming,1
terminologies.,1
A,1
any,1
languages,1
plus.Python,1
distribution,1
wide,1
variety,1
platforms.,1
You,1
download,1
only,1
binary,2
applicable,1
your,3
platform,2
install,1
Python.If,1
not,1
"available,",1
you,2
C,1
compiler,1
compile,1
manually.,1
Compiling,1
offers,1
more,1
flexibility,1
in,2
terms,1
choice,1
features,1
that,1
require,1
installation.,1
